entity,id,parent_id,title,status
question_group,01c9abff-5afb-457d-959f-9c5b16a8d6e7,43030963-45f5-46f2-a812-d586e2533f15,Xem tranh và trả lời câu hỏi,ORPHAN
question_group,01e700fb-2a99-4a78-8b30-f3425b3d47f3,916163b9-1812-48ff-af04-9b95ed9319e7,Ôn tập Vocab,ORPHAN
question_group,03229af4-22d0-4e01-8fd0-fdd4cf3550f5,5bcdc57e-aff4-4957-968d-0cc559eea92f,Chọn đáp án đúng,ORPHAN
question_group,04c785bb-3d07-4d5c-afb6-6242e775dc33,64cb9979-01a1-4912-af97-e94acc0e70e3,Overview Writing,ORPHAN
question_group,0572372f-6404-4ad0-a708-aa1ae648e58d,b1f245be-5fee-4459-8c34-89257cb9000c,Đọc và thu âm bài đọc,ORPHAN
question_group,091b701a-a8a2-4f12-bc0e-acd946ed3ef0,8ccf86ea-a945-475b-a216-ae9a35596635,SPEAKING PART 2,ORPHAN
question_group,3566e75f-f32a-47e7-83c3-6aa8b01da8c3,a1d3161a-7f74-44a4-bb03-47625a3097d2,Nghe và điền A B C...,ORPHAN
question_group,42e60683-30fa-489d-b18d-36222546ff6c,3eb050d5-ab9b-48e2-b917-76329e331fb0,Nghe đoạn hội thoại và trả lời câu hỏi*,ORPHAN
question_group,4583ae51-f8b9-4375-af9d-ebabdfa30983,6dafba00-3683-4c8a-b75d-8088d11cf45c,What Destroyed the Civilisation of Easter Island ,ORPHAN
question_group,4bcdb97a-233c-41ca-982d-68dfe9768f91,af37d677-794b-45dd-bcd7-8235d467943d,Nghe điền đáp án A B C ...,ORPHAN
question_group,5a3b8fd9-1c3b-43c9-ae69-467ffaf5596b,8a816ffd-d984-42e3-817d-78cf989455b3,Dựa vào thông tin bài đọc để trả lời các câu hỏi sau,ORPHAN
question_group,5f0f8ad9-c8c8-44d4-a7bc-ece72142a7af,88ec2bd6-a919-4460-8a61-b9fec8f86fbe,Nghe điền đáp án,ORPHAN
question_group,63f4705b-5e16-4901-9b4f-419bd822de6f,859da460-93c2-418c-b675-4797c78ac854,PHẦN C. SIMPLE PAST,ORPHAN
question_group,653d8492-74a6-4dc7-9304-f0790993c734,5988eed6-6f52-4fee-bf0d-3a1cfe4a91a3,,ORPHAN
question_group,65786084-79a0-4930-acd9-46325463a819,9dc8262e-6ee2-4607-8b1b-d400b35d4124,NULL,ORPHAN
question_group,6c70da32-83ee-48e7-a11f-cb173e2c5e1f,60df1498-6b29-4451-8579-efc8cc982f85,Dịch sang tiếng Anh,ORPHAN
question_group,6ccae423-b961-4f96-ae93-3194acbee8a9,4f1e8463-ad90-4e98-8c7e-b62c67aa2472,Nghe điền đáp án,ORPHAN
question_group,f28309eb-c18d-4eeb-ba4c-c81f3d077773,64cb9979-01a1-4912-af97-e94acc0e70e3,Collocation Check (Sử dụng từ vựng chính xác),ORPHAN
question_group,f3618c0b-f640-4083-aad1-22a369d8338d,3f250c2e-dace-4a50-9b25-27cd30dbf059,Chia body,ORPHAN
question_group,fabbc0f7-3a6f-4a80-93fe-67f6db0f0a1a,4ec72461-5361-4ec3-8cc9-d8b2f3501f76,SPEAKING PART 2,ORPHAN
question_group,fca5df9c-2824-4fd8-acc0-b70dea97ccaf,b018273e-7623-4156-afae-faa916aa52f4,C. THAT hay WHICH?,ORPHAN
question_group,ff0ae90c-6ee6-4772-a4ac-a479866014ca,859da460-93c2-418c-b675-4797c78ac854,PHẦN B. PRESENT CONTINUOUS,ORPHAN
question_group,ff5806f8-0567-4a7b-803b-d651a821dd9e,4875fb34-3d04-4857-b51e-6f25247eaddf,Ghi âm câu trả lời cho câu hỏi sau:,ORPHAN
question,00d76f65-dd5f-4dc1-98de-8c235f37f834,a936c66e-5753-4645-b77f-6013a8e091da,true_false_not_given,ORPHAN
question,01ee8eb8-f325-4646-b911-87f9ca7dc4dc,b13539d2-e609-49f7-930f-60840d5f82c3,essay,ORPHAN
question,0216845e-562e-44b4-819f-60f93886ffa6,96743041-40d2-4698-a45a-146208b173a9,true_false_not_given,ORPHAN
question,02357463-d0b6-4aee-8219-b828e5c25c56,2243506e-049e-45c3-82b5-d78f3905035c,multiple_choice,ORPHAN
question,02d23dfe-4f60-45ef-9e28-896098e8a239,6dfab062-004f-401b-8ae8-51ad73c7f013,short_answer,ORPHAN
question,0310f591-d612-45c3-9e4d-e940b840f915,6d53068c-0314-48bd-b3fd-1e199103eba9,multiple_choice,ORPHAN
question,0330e0e1-0ee1-4503-915e-5d782b565a9c,bea2343f-f19a-4cd0-8a53-e6c045fb4716,multiple_choice,ORPHAN
question,033ee1e7-9897-4d09-898f-995ee65ee904,c8d76af8-c7f9-4b31-b5f8-286cebe5d7c8,multiple_choice,ORPHAN
question,0404e4cf-e212-4412-8bf1-4d80f49fa0b5,91362db1-af14-4673-a995-d75ea2098eb7,essay,ORPHAN
question,045aa124-d8b6-40f8-b276-b09566168ca1,bb590bf5-6789-49cf-ac4c-cae92ad88613,short_answer,ORPHAN
question,04ac4208-0657-4421-a9c5-71949f76d3ae,e2a35290-304b-4c99-95e9-b2c2de33fc2e,essay,ORPHAN
question,061cd576-ab79-46fd-a998-d01f767e351a,bd2a983d-e8ce-4e70-95de-a0b7057b1d53,multiple_choice,ORPHAN
question,07018ad9-e616-4953-91fd-33b51a7d39c8,1e4aaacb-6cf1-4cd4-854a-60d03da6efea,multiple_choice,ORPHAN
question,075074cb-1131-42b7-87f4-2a8b836b62a4,1a494210-8671-45ec-8fbd-100cd57ddca9,fill_blank,ORPHAN
question,07abe822-6416-48b7-8bd4-255cf2c071cd,9e3fa230-a4c3-4ef3-86e5-48dc418f0a5a,matching,ORPHAN
question,09974692-ef0f-4339-9f5f-c416d508a5b1,cadc8b74-f2d5-459d-8679-2e58f26b6cdc,essay,ORPHAN
question,09e277ff-3efe-463c-8a68-ea3e16d5c24a,d6980683-18fd-45e3-a76e-1c0e0195a92b,multiple_choice,ORPHAN
question,0b2fbccf-bb03-450a-8a61-1bcf983f5ebd,e8a99132-ff1a-405b-9dd3-c29ca10646eb,speaking,ORPHAN
question,0c7ae03d-4080-4b21-8d3d-9377049407a2,9a36357f-f4a8-4816-bd16-7c157bf181ed,essay,ORPHAN
question,0c9fcba4-4a93-4e32-8ac5-042bff04b9fd,ca767348-ec76-4116-bdfa-20f9ce2d42d6,multiple_choice,ORPHAN
question,124ce7ad-3785-4ee0-8ab3-d70ff3a6477d,99d6ddb0-3d6e-4167-8498-0a930b0486b3,short_answer,ORPHAN
question,12d0750a-6116-46dd-8147-b00504b8a695,86d6c8da-45cc-48ff-b079-1dc1b4d38064,essay,ORPHAN
question,142c8410-87fe-4f99-aaf4-bfb431fd24ac,86ceb6ed-0fdf-4dd8-9fc9-969502514551,multiple_choice,ORPHAN
question,144d347b-bd49-4313-8ef2-d1a246df2026,111a506c-6e1a-456a-9688-8d311803f2d9,matching,ORPHAN
question,14ef8038-194d-4dfa-8dac-29a36e0761da,96743041-40d2-4698-a45a-146208b173a9,true_false_not_given,ORPHAN
question,1654e350-f2f6-4055-afab-1903bb5633e0,c8d76af8-c7f9-4b31-b5f8-286cebe5d7c8,multiple_choice,ORPHAN
question,1665a190-4d07-40ec-8d7e-52adf8749866,c909d9d8-185f-45e8-95bc-3c336b6a9884,multiple_choice,ORPHAN
question,1eb704de-8646-4bb1-995b-4c3246cc8da6,90778f34-ce5e-4b84-9214-8b8a2bef8bd6,essay,ORPHAN
question,1f0e49b4-05a5-4a11-9f84-af588142c466,c527fc86-f8a4-4041-89d0-b57762dea03a,short_answer,ORPHAN
question,20700ef3-1c6a-4f5d-b4e1-506471795c4b,2b78a900-e6dd-4bbc-8b0b-63370cbd0636,matching,ORPHAN
question,211c4124-5704-43dc-b5b0-19497a125e44,72c03b16-56b1-4472-9529-6b1586c444df,short_answer,ORPHAN
question,21735b87-e0c3-45aa-b61d-4b6bc36e48e9,bd2a983d-e8ce-4e70-95de-a0b7057b1d53,multiple_choice,ORPHAN
question,32184afd-b533-4e7b-abfe-6782b711203e,e2a35290-304b-4c99-95e9-b2c2de33fc2e,essay,ORPHAN
question,3219c16e-b794-4fa4-ae53-9b16bc1679ec,d6980683-18fd-45e3-a76e-1c0e0195a92b,multiple_choice,ORPHAN
question,3226747e-c82f-42af-a9c1-ab19b416b677,e7008b15-6d11-4bb9-80e1-c988129fb9e9,multiple_choice,ORPHAN
question,32ab3316-a268-4817-aa87-ec15b7b8c18f,1b5bc3c9-7203-4b34-868c-9d0d2610526d,multiple_choice,ORPHAN
