proposed_target_id,source_group_id,question_type,historical_answer_count,classification,source_id_preserved
00dcb09c-c43c-411a-8ce2-521161e4195a,54d55784-1f9e-4b28-849c-12bb014f9d78,short_answer,0,SAFE_NEW_ROW_REQUIRED,true
02d23dfe-4f60-45ef-9e28-896098e8a239,6dfab062-004f-401b-8ae8-51ad73c7f013,short_answer,0,SAFE_NEW_ROW_REQUIRED,true
174b3419-db8a-4c27-a27b-1eceb403dccb,33ecdbaa-fb31-4554-aebb-567bfd0eddb7,essay,1,PROTECTED_NEW_ROW_REQUIRED,true
1be64efe-1d7a-4f8e-b3f3-7d1d162a848c,33ecdbaa-fb31-4554-aebb-567bfd0eddb7,essay,1,PROTECTED_NEW_ROW_REQUIRED,true
227b0373-dee1-4d10-929c-40854151c56c,54d55784-1f9e-4b28-849c-12bb014f9d78,short_answer,0,SAFE_NEW_ROW_REQUIRED,true
22b2e33a-9ab7-40db-8454-d8e460d9068d,3ae2d6c2-303d-4883-8839-05044f952f54,multiple_choice,0,SAFE_NEW_ROW_REQUIRED,true
25dc88f9-d9c1-45e4-9d8d-4dab0a0a26bb,ef21db03-ea09-401d-999f-91f7fdb7d2d5,essay,0,SAFE_NEW_ROW_REQUIRED,true
2acf38f0-dfc9-4058-b654-d777528d2604,6dfab062-004f-401b-8ae8-51ad73c7f013,short_answer,0,SAFE_NEW_ROW_REQUIRED,true
355e7f78-5035-4dd2-90bc-4d852c2b559c,3ae2d6c2-303d-4883-8839-05044f952f54,multiple_choice,0,SAFE_NEW_ROW_REQUIRED,true
4e426076-bc2f-429e-b38d-88d57e309afe,33ecdbaa-fb31-4554-aebb-567bfd0eddb7,short_answer,1,PROTECTED_NEW_ROW_REQUIRED,true
51b4125c-0a7f-471a-bd66-fa80a2bfe8a0,33ecdbaa-fb31-4554-aebb-567bfd0eddb7,essay,1,PROTECTED_NEW_ROW_REQUIRED,true
553e8231-21ad-4426-a446-33a8b2006e7c,3ae2d6c2-303d-4883-8839-05044f952f54,multiple_choice,0,SAFE_NEW_ROW_REQUIRED,true
59686d13-c178-46c0-9714-44b8229f9d51,3ae2d6c2-303d-4883-8839-05044f952f54,multiple_choice,0,SAFE_NEW_ROW_REQUIRED,true
59903064-c929-42c9-a68d-75deb8844974,85c7d5b8-c606-4c33-8faf-35cbbc0175b8,short_answer,0,SAFE_NEW_ROW_REQUIRED,true
632af1c3-1456-4599-92f6-1685579d67d0,3ae2d6c2-303d-4883-8839-05044f952f54,multiple_choice,0,SAFE_NEW_ROW_REQUIRED,true
6d6dd6ca-35be-4f22-a0f5-38b83c3ad8ab,6ccae423-b961-4f96-ae93-3194acbee8a9,short_answer,0,SAFE_NEW_ROW_REQUIRED,true
72f9a7bc-f63d-445f-83f4-7c0b33f68cc4,ef21db03-ea09-401d-999f-91f7fdb7d2d5,matching,0,SAFE_NEW_ROW_REQUIRED,true
82ffb99d-95d8-4fce-95d2-c9904ffa6b34,33ecdbaa-fb31-4554-aebb-567bfd0eddb7,essay,1,PROTECTED_NEW_ROW_REQUIRED,true
8a557c35-820f-4b26-92d6-c875acb31615,54d55784-1f9e-4b28-849c-12bb014f9d78,short_answer,0,SAFE_NEW_ROW_REQUIRED,true
935438e4-6c2b-4bd5-ba7d-e548948c8f87,3ae2d6c2-303d-4883-8839-05044f952f54,multiple_choice,0,SAFE_NEW_ROW_REQUIRED,true
9ed76e52-9206-4181-a557-ac6e06e3e404,54d55784-1f9e-4b28-849c-12bb014f9d78,short_answer,0,SAFE_NEW_ROW_REQUIRED,true
ab102e5d-d0a3-448b-8de4-21f9f9f594f3,54d55784-1f9e-4b28-849c-12bb014f9d78,short_answer,0,SAFE_NEW_ROW_REQUIRED,true
ace5081a-3652-4e29-8438-cecd63e26c50,33ecdbaa-fb31-4554-aebb-567bfd0eddb7,essay,1,PROTECTED_NEW_ROW_REQUIRED,true
b169d6ae-66e2-4424-b5db-5b47a13461c5,54d55784-1f9e-4b28-849c-12bb014f9d78,short_answer,0,SAFE_NEW_ROW_REQUIRED,true
b8699bdc-5dad-430a-8cea-998dc4b8d03b,33ecdbaa-fb31-4554-aebb-567bfd0eddb7,short_answer,1,PROTECTED_NEW_ROW_REQUIRED,true
b9817f8f-7c78-43f6-aef0-964b90206ad8,6dfab062-004f-401b-8ae8-51ad73c7f013,short_answer,0,SAFE_NEW_ROW_REQUIRED,true
c0f6b54e-2aa7-4827-b489-c4633298e8eb,33ecdbaa-fb31-4554-aebb-567bfd0eddb7,essay,1,PROTECTED_NEW_ROW_REQUIRED,true
c5e96a5c-2708-4029-9f3a-305b4b69333b,33ecdbaa-fb31-4554-aebb-567bfd0eddb7,short_answer,1,PROTECTED_NEW_ROW_REQUIRED,true
d5978a2c-70d5-45ba-a73b-c4d7f4c73eef,85c7d5b8-c606-4c33-8faf-35cbbc0175b8,short_answer,0,SAFE_NEW_ROW_REQUIRED,true
dac2f38e-13f2-45a0-a953-f734ab7b3f3a,3ae2d6c2-303d-4883-8839-05044f952f54,multiple_choice,0,SAFE_NEW_ROW_REQUIRED,true
dbd2c148-c8fb-453c-b482-b733cafd2da2,6dfab062-004f-401b-8ae8-51ad73c7f013,short_answer,0,SAFE_NEW_ROW_REQUIRED,true
dd12e2ca-8ca4-42fe-aed6-7d704851d039,ef21db03-ea09-401d-999f-91f7fdb7d2d5,fill_blank,0,SAFE_NEW_ROW_REQUIRED,true
eee05e71-12c5-4edf-b1ae-f77d6a8e1bda,85c7d5b8-c606-4c33-8faf-35cbbc0175b8,short_answer,0,SAFE_NEW_ROW_REQUIRED,true
f1f75c06-a7d4-4deb-a49c-a3b5dfbd7ff3,85c7d5b8-c606-4c33-8faf-35cbbc0175b8,short_answer,0,SAFE_NEW_ROW_REQUIRED,true
f6fdaada-8933-49e2-802d-5081ad6e966b,85c7d5b8-c606-4c33-8faf-35cbbc0175b8,short_answer,0,SAFE_NEW_ROW_REQUIRED,true
