question_id,submission_count
38c4573e-34ac-426e-9da4-0bcf940d52dd,1
3f2c9a68-56b6-4976-a504-2a53ed5f66db,1
11f7600e-66ac-44d0-b270-762bcba920d1,1
620f4c58-49b1-4cfa-8abb-747ee39588ce,1
43907def-1f78-4839-8751-ff1079fdee91,1
bd40bfd2-56d3-4759-86a4-75ee40060bc7,1
cc8c16a0-69d1-42c1-882d-3205ea3bc5e9,1
7269e774-b913-414d-bff4-730ab17963fa,1
d2b75d46-67a9-4137-b59c-c0e800aab883,1
124ce7ad-3785-4ee0-8ab3-d70ff3a6477d,1
b1899aa3-905c-4cbc-bc17-02cd300cd5eb,1
4e426076-bc2f-429e-b38d-88d57e309afe,1
0acd345d-4f55-4100-b83e-81082e611522,1
c0f6b54e-2aa7-4827-b489-c4633298e8eb,1
ae2217bc-5bcd-4ec1-aa1d-6515185e9103,1
e19ac399-6094-4a0c-9003-b54abc5e0f40,1
578ed22b-adee-4442-92ab-c04a1951d902,1
7172de9a-a379-4fc8-8500-ea2560718b5a,1
4444930c-f0db-4d53-a776-b289c549e34d,1
3dc617d0-8981-4053-9b94-33ea68c0be46,1
4dabdb1a-a402-4026-898e-52c5e6e54b65,1
8b7eace7-0b13-4907-be72-d4d5c98a3615,1
2be6599e-12cb-4290-8efc-f41d8e3eb96c,1
807f95f9-37ac-43b9-9818-faccbf2cb4de,1
07018ad9-e616-4953-91fd-33b51a7d39c8,1
268272d2-1158-4412-b975-aea180b09845,1
78a5760c-5fab-48ee-9b49-49f0c476d3fb,1
5e03d07a-3e6e-4f96-b760-0ecbe5573c95,1
977dbb85-03f7-40d9-8059-029602f9a636,1
e81c1802-7d3c-43a9-bb5a-3799f30a0de7,1
e6084ef6-30d7-421b-9935-c15e506d4049,1
9a0f0083-7d44-45aa-aeba-2abaed616efc,1
2ddff2ce-1944-4cfc-859c-588bfdaf7113,1
6268c893-6886-499e-81c3-194dea9cd9f2,1
af8a4e0a-9c26-479e-a77a-2cdaa3996225,1
0f6b3582-93bb-4e30-a2f1-6c9e116df897,1
6deccf3c-0fed-4cca-a8ac-b2c2c6611623,1
44714fe8-f9cc-4bfa-bcdc-f94f38d76710,1
46688dd3-263d-4c00-b368-2acd19f5c60d,1
6c16046c-ca72-41fe-bc92-ed2a45ece0f1,1
562c803e-82b5-40b8-81de-c3504bb05eb4,1
cf0b74a4-eff6-4998-9140-891f579c4e12,1
87526219-e2be-4f95-8907-98b0d88f3665,1
9fffecd1-bee2-4293-964a-685d2ad60ca6,1
c5ea7cd0-1f31-4967-b9fe-b7c4934b564f,1
de50e60b-f74c-4948-905f-03f5ba2c0b6d,1
cfdf6db8-7c15-4468-9ff8-6df9451d54db,1
d5dfaa25-dbc3-463c-8db3-48c361acf70d,1
b8d39d8d-f530-4867-b3c3-c1c1047589e7,1
2b6f2ec6-059e-4bac-8e8d-43de39770b55,1
