source_question_id,source_group_id,source_section_id,source_exam_id,historical_answer_count,target_question_exists,recommended_action
00dcb09c-c43c-411a-8ce2-521161e4195a,54d55784-1f9e-4b28-849c-12bb014f9d78,3981715b-0bcf-4c0b-9edc-6e5a5688e372,8e16507c-cdd6-42a6-b2a8-7efbff4f78d5,0,false,SAFE_NEW_ROW_REQUIRED
02d23dfe-4f60-45ef-9e28-896098e8a239,6dfab062-004f-401b-8ae8-51ad73c7f013,b5abf4bc-4164-4b16-8e73-dd3c4db7afdd,927916ef-5f91-4361-897e-9db28f9d5a32,0,false,SAFE_NEW_ROW_REQUIRED
174b3419-db8a-4c27-a27b-1eceb403dccb,33ecdbaa-fb31-4554-aebb-567bfd0eddb7,a9c2fccb-4805-428a-b9fb-71f216b214ad,8c3756f6-11ba-429b-9977-42bf93b61d61,1,false,PROTECTED_NEW_ROW_REQUIRED
1be64efe-1d7a-4f8e-b3f3-7d1d162a848c,33ecdbaa-fb31-4554-aebb-567bfd0eddb7,a9c2fccb-4805-428a-b9fb-71f216b214ad,8c3756f6-11ba-429b-9977-42bf93b61d61,1,false,PROTECTED_NEW_ROW_REQUIRED
227b0373-dee1-4d10-929c-40854151c56c,54d55784-1f9e-4b28-849c-12bb014f9d78,3981715b-0bcf-4c0b-9edc-6e5a5688e372,8e16507c-cdd6-42a6-b2a8-7efbff4f78d5,0,false,SAFE_NEW_ROW_REQUIRED
22b2e33a-9ab7-40db-8454-d8e460d9068d,3ae2d6c2-303d-4883-8839-05044f952f54,6dafba00-3683-4c8a-b75d-8088d11cf45c,a01e4765-02da-4bff-8590-6e68aa7aa3d1,0,false,SAFE_NEW_ROW_REQUIRED
25dc88f9-d9c1-45e4-9d8d-4dab0a0a26bb,ef21db03-ea09-401d-999f-91f7fdb7d2d5,1208dd65-a83d-46b3-a62e-35f73d160c71,9f1b7594-8328-4adf-a970-63585d4afc4d,0,false,SAFE_NEW_ROW_REQUIRED
2acf38f0-dfc9-4058-b654-d777528d2604,6dfab062-004f-401b-8ae8-51ad73c7f013,b5abf4bc-4164-4b16-8e73-dd3c4db7afdd,927916ef-5f91-4361-897e-9db28f9d5a32,0,false,SAFE_NEW_ROW_REQUIRED
355e7f78-5035-4dd2-90bc-4d852c2b559c,3ae2d6c2-303d-4883-8839-05044f952f54,6dafba00-3683-4c8a-b75d-8088d11cf45c,a01e4765-02da-4bff-8590-6e68aa7aa3d1,0,false,SAFE_NEW_ROW_REQUIRED
4e426076-bc2f-429e-b38d-88d57e309afe,33ecdbaa-fb31-4554-aebb-567bfd0eddb7,a9c2fccb-4805-428a-b9fb-71f216b214ad,8c3756f6-11ba-429b-9977-42bf93b61d61,1,false,PROTECTED_NEW_ROW_REQUIRED
51b4125c-0a7f-471a-bd66-fa80a2bfe8a0,33ecdbaa-fb31-4554-aebb-567bfd0eddb7,a9c2fccb-4805-428a-b9fb-71f216b214ad,8c3756f6-11ba-429b-9977-42bf93b61d61,1,false,PROTECTED_NEW_ROW_REQUIRED
553e8231-21ad-4426-a446-33a8b2006e7c,3ae2d6c2-303d-4883-8839-05044f952f54,6dafba00-3683-4c8a-b75d-8088d11cf45c,a01e4765-02da-4bff-8590-6e68aa7aa3d1,0,false,SAFE_NEW_ROW_REQUIRED
59686d13-c178-46c0-9714-44b8229f9d51,3ae2d6c2-303d-4883-8839-05044f952f54,6dafba00-3683-4c8a-b75d-8088d11cf45c,a01e4765-02da-4bff-8590-6e68aa7aa3d1,0,false,SAFE_NEW_ROW_REQUIRED
59903064-c929-42c9-a68d-75deb8844974,85c7d5b8-c606-4c33-8faf-35cbbc0175b8,fd719b96-a29a-43a6-af92-f45b0d8db4bd,4d827565-1cc3-4cdc-9341-c444b613efa3,0,false,SAFE_NEW_ROW_REQUIRED
